Company,TypeName,Ram,OpSys,Weight,Price,PPI,Cpu processor,Gpu_brand,HDD,SSD,Hybrid,Flash_Storage
Apple,Ultrabook,8.0,Mac,1.34,47895.5232,127.67794013309688,Intel Core i5,Intel,0,0,0,128
HP,Notebook,8.0,Others/No OS/Linux,1.86,30636.0,141.21199808219862,Intel Core i5,Intel,0,256,0,0
Acer,Notebook,4.0,Windows,2.1,21312.0,100.45466986113652,AMD Processor,AMD,500,0,0,0
Apple,Ultrabook,8.0,Mac,1.34,61735.536,127.67794013309688,Intel Core i5,Intel,0,0,0,256
Acer,Ultrabook,8.0,Windows,1.6,41025.6,157.3505121487356,Intel Core i5,Intel,0,256,0,0
HP,Notebook,4.0,Others/No OS/Linux,1.86,20986.992,100.45466986113652,Intel Core i5,Intel,500,0,0,0
HP,Notebook,4.0,Others/No OS/Linux,1.86,18381.0672,141.21199808219862,Intel Core i3,Intel,500,0,0,0
Dell,Notebook,4.0,Windows,2.2,26581.392,141.21199808219862,Intel Core i3,AMD,0,256,0,0
Dell,Notebook,8.0,Windows,2.2,39693.6,141.21199808219862,Intel Core i7,AMD,0,256,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,2.2,26586.72,141.21199808219862,Intel Core i3,Nvidia,1000,0,0,0
Dell,Ultrabook,8.0,Windows,1.22,52161.12,165.6321180513006,Intel Core i5,Intel,0,128,0,0
Lenovo,Gaming,8.0,Windows,2.5,53226.72,141.21199808219862,Intel Core i5,Nvidia,1000,128,0,0
HP,Notebook,4.0,Others/No OS/Linux,1.86,13746.24,100.45466986113652,AMD Processor,AMD,500,0,0,0
Dell,2 in 1 Convertible,8.0,Windows,1.62,43636.32,165.6321180513006,Intel Core i5,Intel,0,256,0,0
HP,Ultrabook,8.0,Windows,1.91,35111.52,141.21199808219862,Intel Core i7,Intel,0,256,0,0
Dell,Notebook,4.0,Windows,2.3,22305.1392,100.45466986113652,Intel Core i3,Intel,1000,0,0,0
Apple,Ultrabook,8.0,Mac,1.35,58554.72,127.67794013309688,Intel Core i5,Intel,0,0,0,128
Dell,Notebook,8.0,Windows,2.2,42624.0,141.21199808219862,Intel Core i5,AMD,0,256,0,0
Dell,Ultrabook,8.0,Windows,1.88,69157.44,141.21199808219862,Intel Core i7,Intel,0,512,0,0
